Date,Portfolio,SPY
2024-02-28,14355572.954596424,289585.0476078513
2024-02-29,14395747.513272814,290625.3673445387
2024-03-01,14532264.898023434,293358.41072058195
2024-03-04,14657539.557965228,293041.0250382027
2024-03-05,14601292.470402155,290114.02374514996
2024-03-06,14768408.191472588,291583.401904313
2024-03-07,15018178.666831285,294475.13812154584
2024-03-08,14793899.66740544,292711.8843305502
2024-03-11,14718948.71133787,292459.15128717414
2024-03-12,14994591.543559685,295603.6205477831
2024-03-13,14971728.106553225,295139.29704948753
2024-03-14,14817968.492598407,294557.423298459
2024-03-15,14785196.661255732,292535.5589514507
2024-03-18,14858084.10927288,294275.30269189976
2024-03-19,14922477.638168592,295909.25120488903
2024-03-20,15049085.231765807,298648.17209356895
2024-03-21,15095039.37235903,299635.5942165265
2024-03-22,15037195.279508565,299065.4754907712
2024-03-25,15001480.037744138,298242.6237216399
2024-03-26,15023053.635939559,297690.13753379456
2024-03-27,15236763.399680264,300188.0804043717
2024-03-28,15261870.884437112,300135.18279064185
2024-04-01,15450084.265081462,299612.0841659798
2024-04-02,15183549.900491143,297707.7700717045
2024-04-03,15369045.218130942,298031.03326672036
2024-04-04,15114247.608531808,294392.8529446327
2024-04-05,15366746.825283585,297472.6695662384
2024-04-08,15465249.326410038,297637.2399200647
2024-04-09,15373003.74397482,297984.01316562714
2024-04-10,15378945.55907186,294998.23674620787
2024-04-11,15438599.770339478,297225.814035499
2024-04-12,15234196.786496123,293123.31021511584
2024-04-15,15113798.291785909,289449.8648172082
2024-04-16,15256972.204829372,288920.8886799095
2024-04-17,15216119.834689435,287210.53250264376
2024-04-18,15150071.94710719,286622.78123897855
2024-04-19,14963484.958781363,284118.96085576474
2024-04-22,15390241.26106327,286734.453979075
2024-04-23,15791843.795754386,290137.5337956965
2024-04-24,15628734.491385967,290002.35100505356
2024-04-25,15646702.86420414,288897.3786293629
2024-04-26,15652657.126162518,291636.2995180429
2024-04-29,15697700.587530216,292670.74174209364
2024-04-30,15450885.049644697,288033.3842717751
2024-05-01,15397457.310564032,287098.8597625474
2024-05-02,15693331.670650583,289784.8830374974
2024-05-03,15961642.772733074,293376.04325849185
2024-05-06,16177714.058289554,296402.96226636774
2024-05-07,16182306.92898533,296732.10297402024
2024-05-08,16216338.906041006,296761.4905372035
2024-05-09,16233971.325732896,298471.8467144692
2024-05-10,16144773.216788795,298853.8850358516
2024-05-13,16087132.824917149,298895.02762430813
2024-05-14,16097394.653292563,300264.4880686481
2024-05-15,16525037.592465855,303984.95356764895
2024-05-16,16239556.473249633,303356.0597155271
2024-05-17,16231192.01554143,303796.87316327606
2024-05-20,16252915.182784265,304143.6464088385
2024-05-21,16229111.971268073,304890.0905136933
2024-05-22,16183841.786903704,304014.3411308321
2024-05-23,16242406.150445431,301792.6413541776
2024-05-24,16413880.87483949,303790.9956506393
2024-05-28,16434852.414712524,304002.58610555873
2024-05-29,16349255.74902702,301874.92653109063
2024-05-30,16379898.931155423,299870.69472199224
2024-05-31,16553719.276941609,302597.8605853989
2024-06-03,16640377.071004627,302844.71611613827
2024-06-04,16723564.268857157,303185.6118490641
2024-06-05,17003200.192247935,306788.52709533187
2024-06-06,16986138.938290503,306782.64958269516
2024-06-07,16922364.7364157,306412.3662865861
2024-06-10,17038832.763551682,307358.6458210871
2024-06-11,16908581.93360894,308099.2124133053
2024-06-12,17005899.4207494,310626.54284706566
2024-06-13,17144495.052505683,311255.4366991875
2024-06-14,17146729.19796953,311443.5171035603
2024-06-17,17351764.331042916,313923.8274362275
2024-06-18,17385000.65653973,314717.29164217564
2024-06-20,17402602.711211953,313865.05230986106
2024-06-21,17375667.867696505,313441.87140002206
2024-06-24,17469526.409019053,312425.06171388127
2024-06-25,17531649.95751323,313629.951804395
2024-06-26,17629967.444706507,314017.8676384141
2024-06-27,17632893.068445273,314511.57869989285
2024-06-28,17772218.88854796,313277.3010461959
2024-07-01,17795952.305689543,313923.82743622764
2024-07-02,17933231.31166656,316033.8544727858
2024-07-03,17908876.835297253,317444.45750558225
2024-07-05,18027632.906929012,319272.3639355811
2024-07-08,17951753.480462696,319642.6472316902
2024-07-09,17874082.818961125,319954.1554014327
2024-07-10,18009709.495449446,323122.1347125882
2024-07-11,17821374.378913756,320336.19372281514
2024-07-12,17859041.74280534,322352.1805571869
