rebalance_date,data_date,ticker,score,rank
2018-12-14,2018-12-14,IBM,0.590259,10
2018-12-14,2018-12-14,INTC,0.572819,11
2018-12-14,2018-12-14,SCHW,0.571496,12
2018-12-14,2018-12-14,KO,0.571038,13
2018-12-14,2018-12-14,NFLX,0.566583,14
2018-12-14,2018-12-14,UAL,0.562863,15
2018-12-21,2018-12-21,GEF,0.791267,1
2018-12-21,2018-12-21,SYF,0.727895,2
2018-12-21,2018-12-21,NVDA,0.702206,3
2018-12-21,2018-12-21,BKR,0.699166,4
2018-12-21,2018-12-21,FDX,0.694707,5
2018-12-21,2018-12-21,AMD,0.682729,6
2018-12-21,2018-12-21,KKR,0.669713,7
2018-12-21,2018-12-21,AAPL,0.664986,8
2018-12-21,2018-12-21,GE,0.652909,9
2018-12-21,2018-12-21,HON,0.651143,10
2018-12-21,2018-12-21,AXP,0.648475,11
2018-12-21,2018-12-21,APO,0.638783,12
2018-12-21,2018-12-21,CRM,0.638764,13
2018-12-21,2018-12-21,BN,0.635745,14
2018-12-21,2018-12-21,CVS,0.627071,15
2018-12-28,2018-12-28,BKR,0.72477,1
2018-12-28,2018-12-28,GEF,0.72334,2
2018-12-28,2018-12-28,AMD,0.700662,3
2018-12-28,2018-12-28,FDX,0.695504,4
2018-12-28,2018-12-28,NVDA,0.634974,5
2018-12-28,2018-12-28,KKR,0.633094,6
2018-12-28,2018-12-28,APO,0.629253,7
2018-12-28,2018-12-28,MU,0.618426,8
2018-12-28,2018-12-28,SYF,0.612088,9
2018-12-28,2018-12-28,CRM,0.610393,10
2018-12-28,2018-12-28,AXP,0.602311,11
2018-12-28,2018-12-28,HON,0.600846,12
2018-12-28,2018-12-28,PEP,0.596167,13
2018-12-28,2018-12-28,CVS,0.594487,14
2018-12-28,2018-12-28,ANET,0.592485,15
2019-01-04,2019-01-04,FDX,0.67306,1
2019-01-04,2019-01-04,APO,0.650295,2
2019-01-04,2019-01-04,BKR,0.643885,3
2019-01-04,2019-01-04,AAPL,0.6359,4
2019-01-04,2019-01-04,NVDA,0.63329,5
2019-01-04,2019-01-04,MU,0.620586,6
2019-01-04,2019-01-04,RJF,0.601061,7
2019-01-04,2019-01-04,META,0.600367,8
2019-01-04,2019-01-04,SYF,0.599538,9
2019-01-04,2019-01-04,IBM,0.59929,10
2019-01-04,2019-01-04,ANET,0.593616,11
2019-01-04,2019-01-04,PEP,0.588131,12
2019-01-04,2019-01-04,HON,0.582998,13
2019-01-04,2019-01-04,SCHW,0.580392,14
2019-01-04,2019-01-04,AVGO,0.579437,15
2019-01-11,2019-01-11,BKR,0.68307,1
2019-01-11,2019-01-11,GE,0.658223,2
2019-01-11,2019-01-11,SYF,0.651671,3
